Title,Schedule,Description,Location,Phone,Email,Website
St. Thomas's Church of England Primary School,N/A,"Welcome It is my privilege to welcome you to St. Thomas’s Church of England Primary School and an honour to serve as the Headteacher. Our school is a place of learning, laughter, fun and a desire to be the best we can be. Our loving…","Hodnet Drive, Ashton-in-Makerfield, Wigan, Lancashire, WN4 8PQ, 01942 201107",N/A,N/A,N/A
St. Wilfrid's Catholic Primary School - Ashton,N/A,"Welcome On behalf of the staff, pupils, parents and governors I would like to welcome you to our school, we are very proud of our school ethos, ""Living the Gospel in the spirit of Love and Respect"".  At St. Wilfrid’s Catholic Primary School, we strive to…","St. Wilfrid's Catholic Primary School, Golborne Road, Ashton-in-Makerfield, Wigan, WN4 8SJ, 01942 707101",N/A,N/A,N/A
St. Wilfrid's CE Primary School (Standish),N/A,"Our Vision: ‘I can do all things through Christ who strengthens me.’ Philippians 4:13 Our children will be rooted in strong faith and academic foundations to thrive and succeed, knowing that Jesus is with them, every step of their journey. Our staff will have the…","Rectory Lane, Standish, Wigan, WN6 0XB, 01257 423992",N/A,N/A,N/A
St. William's Catholic Primary School,N/A,"Welcome We are extremely proud of the success of our children and together, we want each one of them to excel within our very caring community where standards are high and our expectations are consistent and clear. Our high expectations apply not only to our…","St. William's Catholic Primary School, Ince Green Lane, Ince, Wigan, WN2 2DG, 01942 235782",N/A,N/A,N/A
Twelve Apostles Catholic Primary,N/A,"As a Catholic School we place great value on the uniqueness of each child in our care. We strive to provide a happy, safe, caring environment, where your child's needs are a priority to all who work or who are associated with the school. Every…","Nel Pan Lane, Leigh, LEIGH, LANCASHIRE, WN7 5JS, 01942 674312",N/A,N/A,N/A
Tyldesley Primary School,N/A,"We are a caring and friendly school, with high expectations for every learner. Our school values are at the core of everything we do. They underpin our teaching and learning, and provide an environment which prepares our pupils as confident, happy citizens. 'Try, Persevere, Succeed'…","Ennerdale Road, Tyldesley, Manchester, M29 7PY, 01942 882870",N/A,N/A,N/A
Westfield Community School,N/A,"Westfield strives to offer 'a beacon of HOPE' for the community. It is a place where everyone is valued and respected and provides a calm environment in which children, parents and staff have high expectations to achieve their best. H – HIGH EXPECTATIONS To recognise parents…","Montrose Avenue, Wigan, WN5 9XN, 01942 776007",N/A,N/A,N/A
Westleigh St Paul's CE Primary,N/A,"Westleigh St. Paul’s CE Primary School is committed to the provision of a high quality education for all its pupils, designed to ensure that they can realise their individual potential within a Christian framework. Values – Friendship, Love, Trust, Respect, Hope At Westleigh St Paul's we…","School Street, Leigh, WN7 5JN, 01942 672611",N/A,N/A,N/A
Winstanley Community Primary School,N/A,"At Winstanley Community Primary School, we believe that every person in school is a valued member of the school community. Our vision and values underpin everything we do. We work together to make a difference by raising aspirations and striving for personal and academic excellence.…","Tan House Drive, Wigan, WN3 6JP, 01942 749141",N/A,N/A,N/A
Wood Fold Primary School,N/A,"Over the years we have earned an excellent reputation and enjoy strong links with the local community. We are very proud of every child in our school and of their achievements, both in and beyond the classroom. At Wood Fold there is something for everyone,…","Green Lane, Standish, Wigan, Greater Manchester, WN6 0TS, 01257 400271",N/A,N/A,N/A
Woodfield Primary School,Open Monday to Friday 7:30am until 5:30pm,Woodfield Primary School is a Local Authority Primary School catering for pupils in the 4-11 years age range. We are expecting to have 210 pupils on role in September 2023 as we are able to admit 30 children per year group. Our school building was…,"Wigan Lane, Wigan, WIGAN, LANCASHIRE, WN1 2NT, 01942 243675",N/A,N/A,N/A
Worsley Mesnes Community Primary School,N/A,"Our vision for Worsley Mesnes Community Primary School is a school where: Children understand that our school values of Respect, Friendship, Inspiration, Equality, Courage, Excellence, and Determination combined with our Worsley Mesnes Way are for school and life. They will have ambition and be prepared…","Clifton Street, Worsley Mesnes, Wigan, WN3 5HN, 01942 776457",N/A,N/A,N/A
